Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MakeAppointment,Chrome 136.0.7103.114,,,22-05-2025 23:00:04,22-05-2025 23:02:06,2m - 2.192s,FAILED
,,,,,,,
Test Cases/MakeAppointment/TC_APPT_04,Chrome 136.0.7103.114,,,22-05-2025 23:00:05,22-05-2025 23:00:23,18.291s,PASSED
"callTestCase(findTestCase(""Login/TC_LOGIN_01""), [:], STOP_ON_FAILURE)",Chrome 136.0.7103.114,,,22-05-2025 23:00:05,22-05-2025 23:00:20,14.779s,PASSED
"facility = findTestData(""AppointmentData"").getValue(""Facility"", 1)",Chrome 136.0.7103.114,,,22-05-2025 23:00:20,22-05-2025 23:00:20,0.005s,PASSED
"readmission = findTestData(""AppointmentData"").getValue(""ApplyReadmission"", 1)",Chrome 136.0.7103.114,,,22-05-2025 23:00:20,22-05-2025 23:00:20,0.004s,PASSED
"program = findTestData(""AppointmentData"").getValue(""Program"", 1)",Chrome 136.0.7103.114,,,22-05-2025 23:00:20,22-05-2025 23:00:20,0.005s,PASSED
"visitDate = findTestData(""AppointmentData"").getValue(""VisitDate"", 2)",Chrome 136.0.7103.114,,,22-05-2025 23:00:20,22-05-2025 23:00:20,0.004s,PASSED
"comment = findTestData(""AppointmentData"").getValue(""Comment"", 1)",Chrome 136.0.7103.114,,,22-05-2025 23:00:20,22-05-2025 23:00:20,0.005s,PASSED
"selectOptionByLabel(findTestObject(""AppointmentPage/FacilityDropdown""), facility, false)",Chrome 136.0.7103.114,,,22-05-2025 23:00:20,22-05-2025 23:00:20,0.506s,PASSED
"if (readmission == ""Yes"")",Chrome 136.0.7103.114,,,22-05-2025 23:00:20,22-05-2025 23:00:21,0.309s,PASSED
switch (program),Chrome 136.0.7103.114,,,22-05-2025 23:00:21,22-05-2025 23:00:21,0.296s,PASSED
"setText(findTestObject(""AppointmentPage/CommentField""), comment)",Chrome 136.0.7103.114,,,22-05-2025 23:00:21,22-05-2025 23:00:21,0.533s,PASSED
"click(findTestObject(""AppointmentPage/ApplyButton""))",Chrome 136.0.7103.114,,,22-05-2025 23:00:21,22-05-2025 23:00:22,0.337s,PASSED
"verifyElementPresent(findTestObject(""AppointmentPage/VerifyNotInputDate""), 5)",Chrome 136.0.7103.114,,,22-05-2025 23:00:22,22-05-2025 23:00:22,0.456s,PASSED
