Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LOGIN,Chrome 136.0.7103.114,,,22-05-2025 23:26:14,22-05-2025 23:27:17,1m - 3.139s,PASSED
,,,,,,,
Test Cases/Login/TC_LOGIN_01,Chrome 136.0.7103.114,,,22-05-2025 23:26:14,22-05-2025 23:26:27,13.110s,PASSED
"openBrowser("""")",Chrome 136.0.7103.114,,,22-05-2025 23:26:14,22-05-2025 23:26:17,2.735s,PASSED
navigateToUrl(baseUrl),Chrome 136.0.7103.114,,,22-05-2025 23:26:17,22-05-2025 23:26:20,3.194s,PASSED
"click(findTestObject(""LoginPage/IconMenu""))",Chrome 136.0.7103.114,,,22-05-2025 23:26:20,22-05-2025 23:26:21,0.379s,PASSED
"click(findTestObject(""LoginPage/LoginButton""))",Chrome 136.0.7103.114,,,22-05-2025 23:26:21,22-05-2025 23:26:21,0.805s,PASSED
"testData = findTestData(""TestData1"")",Chrome 136.0.7103.114,,,22-05-2025 23:26:21,22-05-2025 23:26:21,0.024s,PASSED
"username = testData.getValue(""username"", 1)",Chrome 136.0.7103.114,,,22-05-2025 23:26:21,22-05-2025 23:26:21,0.024s,PASSED
"password = testData.getValue(""password"", 1)",Chrome 136.0.7103.114,,,22-05-2025 23:26:21,22-05-2025 23:26:21,0.003s,PASSED
"setText(findTestObject(""LoginPage/UsernameField""), username)",Chrome 136.0.7103.114,,,22-05-2025 23:26:21,22-05-2025 23:26:22,0.718s,PASSED
"setText(findTestObject(""LoginPage/PasswordField""), password)",Chrome 136.0.7103.114,,,22-05-2025 23:26:22,22-05-2025 23:26:23,0.554s,PASSED
"click(findTestObject(""LoginPage/LoginSubmitButton""))",Chrome 136.0.7103.114,,,22-05-2025 23:26:23,22-05-2025 23:26:24,1.045s,PASSED
"verifyElementPresent(findTestObject(""AppointmentPage/ApplyButton""), 5)",Chrome 136.0.7103.114,,,22-05-2025 23:26:24,22-05-2025 23:26:24,0.462s,PASSED
takeFullPageScreenshot(),Chrome 136.0.7103.114,,,22-05-2025 23:26:24,22-05-2025 23:26:27,2.791s,PASSED
,,,,,,,
Test Cases/Login/TC_LOGIN_02,Chrome 136.0.7103.114,,,22-05-2025 23:26:27,22-05-2025 23:26:41,13.885s,PASSED
"openBrowser("""")",Chrome 136.0.7103.114,,,22-05-2025 23:26:27,22-05-2025 23:26:29,1.991s,PASSED
navigateToUrl(baseUrl),Chrome 136.0.7103.114,,,22-05-2025 23:26:29,22-05-2025 23:26:34,5.312s,PASSED
"click(findTestObject(""LoginPage/IconMenu""))",Chrome 136.0.7103.114,,,22-05-2025 23:26:34,22-05-2025 23:26:35,0.327s,PASSED
"click(findTestObject(""LoginPage/LoginButton""))",Chrome 136.0.7103.114,,,22-05-2025 23:26:35,22-05-2025 23:26:36,0.800s,PASSED
"testData = findTestData(""TestData1"")",Chrome 136.0.7103.114,,,22-05-2025 23:26:36,22-05-2025 23:26:36,0.010s,PASSED
"username = testData.getValue(""username"", 2)",Chrome 136.0.7103.114,,,22-05-2025 23:26:36,22-05-2025 23:26:36,0.006s,PASSED
"password = testData.getValue(""password"", 2)",Chrome 136.0.7103.114,,,22-05-2025 23:26:36,22-05-2025 23:26:36,0.003s,PASSED
"setText(findTestObject(""LoginPage/UsernameField""), username)",Chrome 136.0.7103.114,,,22-05-2025 23:26:36,22-05-2025 23:26:36,0.814s,PASSED
"setText(findTestObject(""LoginPage/PasswordField""), password)",Chrome 136.0.7103.114,,,22-05-2025 23:26:36,22-05-2025 23:26:37,0.543s,PASSED
"click(findTestObject(""LoginPage/LoginSubmitButton""))",Chrome 136.0.7103.114,,,22-05-2025 23:26:37,22-05-2025 23:26:38,1.130s,PASSED
"verifyElementText(findTestObject(""LoginPage/ErrorMessage""), ""Login failed! Please ensure the username and password are valid."")",Chrome 136.0.7103.114,,,22-05-2025 23:26:38,22-05-2025 23:26:39,0.506s,PASSED
takeFullPageScreenshot(),Chrome 136.0.7103.114,,,22-05-2025 23:26:39,22-05-2025 23:26:41,2.342s,PASSED
,,,,,,,
Test Cases/Login/TC_LOGIN_03,Chrome 136.0.7103.114,,,22-05-2025 23:26:41,22-05-2025 23:26:52,11.442s,PASSED
"openBrowser("""")",Chrome 136.0.7103.114,,,22-05-2025 23:26:41,22-05-2025 23:26:43,1.617s,PASSED
navigateToUrl(baseUrl),Chrome 136.0.7103.114,,,22-05-2025 23:26:43,22-05-2025 23:26:47,4.602s,PASSED
