Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
LOGIN,Chrome 136.0.7103.114,,,23-05-2025 00:59:02,23-05-2025 01:00:10,1m - 7.652s,PASSED
,,,,,,,
Test Cases/Login/TC_LOGIN_01,Chrome 136.0.7103.114,,,23-05-2025 00:59:03,23-05-2025 00:59:19,16.662s,PASSED
"openBrowser("""")",Chrome 136.0.7103.114,,,23-05-2025 00:59:03,23-05-2025 00:59:09,5.441s,PASSED
navigateToUrl(baseUrl),Chrome 136.0.7103.114,,,23-05-2025 00:59:09,23-05-2025 00:59:12,3.531s,PASSED
"click(findTestObject(""LoginPage/IconMenu""))",Chrome 136.0.7103.114,,,23-05-2025 00:59:12,23-05-2025 00:59:13,0.434s,PASSED
"click(findTestObject(""LoginPage/LoginButton""))",Chrome 136.0.7103.114,,,23-05-2025 00:59:13,23-05-2025 00:59:14,0.849s,PASSED
"testData = findTestData(""TestData1"")",Chrome 136.0.7103.114,,,23-05-2025 00:59:14,23-05-2025 00:59:14,0.023s,PASSED
"username = testData.getValue(""username"", 1)",Chrome 136.0.7103.114,,,23-05-2025 00:59:14,23-05-2025 00:59:14,0.031s,PASSED
"password = testData.getValue(""password"", 1)",Chrome 136.0.7103.114,,,23-05-2025 00:59:14,23-05-2025 00:59:14,0.009s,PASSED
"setText(findTestObject(""LoginPage/UsernameField""), username)",Chrome 136.0.7103.114,,,23-05-2025 00:59:14,23-05-2025 00:59:14,0.847s,PASSED
"setText(findTestObject(""LoginPage/PasswordField""), password)",Chrome 136.0.7103.114,,,23-05-2025 00:59:14,23-05-2025 00:59:15,0.548s,PASSED
"click(findTestObject(""LoginPage/LoginSubmitButton""))",Chrome 136.0.7103.114,,,23-05-2025 00:59:15,23-05-2025 00:59:16,1.098s,PASSED
"verifyElementPresent(findTestObject(""AppointmentPage/ApplyButton""), 5)",Chrome 136.0.7103.114,,,23-05-2025 00:59:16,23-05-2025 00:59:17,0.459s,PASSED
takeFullPageScreenshot(),Chrome 136.0.7103.114,,,23-05-2025 00:59:17,23-05-2025 00:59:19,2.873s,PASSED
,,,,,,,
Test Cases/Login/TC_LOGIN_02,Chrome 136.0.7103.114,,,23-05-2025 00:59:19,23-05-2025 00:59:31,11.858s,PASSED
"openBrowser("""")",Chrome 136.0.7103.114,,,23-05-2025 00:59:20,23-05-2025 00:59:22,1.984s,PASSED
navigateToUrl(baseUrl),Chrome 136.0.7103.114,,,23-05-2025 00:59:22,23-05-2025 00:59:25,3.509s,PASSED
"click(findTestObject(""LoginPage/IconMenu""))",Chrome 136.0.7103.114,,,23-05-2025 00:59:25,23-05-2025 00:59:25,0.329s,PASSED
"click(findTestObject(""LoginPage/LoginButton""))",Chrome 136.0.7103.114,,,23-05-2025 00:59:25,23-05-2025 00:59:26,0.795s,PASSED
"testData = findTestData(""TestData1"")",Chrome 136.0.7103.114,,,23-05-2025 00:59:26,23-05-2025 00:59:26,0.012s,PASSED
"username = testData.getValue(""username"", 2)",Chrome 136.0.7103.114,,,23-05-2025 00:59:26,23-05-2025 00:59:26,0.010s,PASSED
"password = testData.getValue(""password"", 2)",Chrome 136.0.7103.114,,,23-05-2025 00:59:26,23-05-2025 00:59:26,0.008s,PASSED
"setText(findTestObject(""LoginPage/UsernameField""), username)",Chrome 136.0.7103.114,,,23-05-2025 00:59:26,23-05-2025 00:59:27,0.725s,PASSED
"setText(findTestObject(""LoginPage/PasswordField""), password)",Chrome 136.0.7103.114,,,23-05-2025 00:59:27,23-05-2025 00:59:27,0.535s,PASSED
"click(findTestObject(""LoginPage/LoginSubmitButton""))",Chrome 136.0.7103.114,,,23-05-2025 00:59:27,23-05-2025 00:59:28,0.924s,PASSED
