Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
MakeAppointment,Chrome 136.0.7103.114,,,23-05-2025 01:00:22,23-05-2025 01:03:13,2m - 51.351s,FAILED
,,,,,,,
Test Cases/MakeAppointment/TC_APPT_04,Chrome 136.0.7103.114,,,23-05-2025 01:00:22,23-05-2025 01:00:43,20.318s,PASSED
"callTestCase(findTestCase(""Login/TC_LOGIN_01""), [:], STOP_ON_FAILURE)",Chrome 136.0.7103.114,,,23-05-2025 01:00:23,23-05-2025 01:00:38,14.861s,PASSED
"facility = findTestData(""AppointmentData"").getValue(""Facility"", 1)",Chrome 136.0.7103.114,,,23-05-2025 01:00:38,23-05-2025 01:00:38,0.006s,PASSED
"readmission = findTestData(""AppointmentData"").getValue(""ApplyReadmission"", 1)",Chrome 136.0.7103.114,,,23-05-2025 01:00:38,23-05-2025 01:00:38,0.006s,PASSED
"program = findTestData(""AppointmentData"").getValue(""Program"", 1)",Chrome 136.0.7103.114,,,23-05-2025 01:00:38,23-05-2025 01:00:38,0.007s,PASSED
"visitDate = findTestData(""AppointmentData"").getValue(""VisitDate"", 2)",Chrome 136.0.7103.114,,,23-05-2025 01:00:38,23-05-2025 01:00:38,0.006s,PASSED
"comment = findTestData(""AppointmentData"").getValue(""Comment"", 1)",Chrome 136.0.7103.114,,,23-05-2025 01:00:38,23-05-2025 01:00:38,0.005s,PASSED
"selectOptionByLabel(findTestObject(""AppointmentPage/FacilityDropdown""), facility, false)",Chrome 136.0.7103.114,,,23-05-2025 01:00:38,23-05-2025 01:00:38,0.521s,PASSED
"if (readmission == ""Yes"")",Chrome 136.0.7103.114,,,23-05-2025 01:00:38,23-05-2025 01:00:39,0.304s,PASSED
switch (program),Chrome 136.0.7103.114,,,23-05-2025 01:00:39,23-05-2025 01:00:39,0.294s,PASSED
"setText(findTestObject(""AppointmentPage/CommentField""), comment)",Chrome 136.0.7103.114,,,23-05-2025 01:00:39,23-05-2025 01:00:40,0.539s,PASSED
"click(findTestObject(""AppointmentPage/ApplyButton""))",Chrome 136.0.7103.114,,,23-05-2025 01:00:40,23-05-2025 01:00:40,0.350s,PASSED
delay(2),Chrome 136.0.7103.114,,,23-05-2025 01:00:40,23-05-2025 01:00:42,2.016s,PASSED
"dateField = findTestObject(""AppointmentPage/CalendarInput"")",Chrome 136.0.7103.114,,,23-05-2025 01:00:42,23-05-2025 01:00:42,0.007s,PASSED
"validationMessage = executeJavaScript(""return arguments[0].validationMessage;"", Arrays.asList(findWebElement(dateField)))",Chrome 136.0.7103.114,,,23-05-2025 01:00:42,23-05-2025 01:00:42,0.297s,PASSED
"println(""Validation Message: "" + validationMessage)",Chrome 136.0.7103.114,,,23-05-2025 01:00:42,23-05-2025 01:00:42,0.006s,PASSED
"assert validationMessage == ""Please fill out this field.""",Chrome 136.0.7103.114,,,23-05-2025 01:00:42,23-05-2025 01:00:42,0.004s,PASSED
takeScreenshot(),Chrome 136.0.7103.114,,,23-05-2025 01:00:42,23-05-2025 01:00:43,0.568s,PASSED
,,,,,,,
